CalfID	CalfStatus	MomID	Year	FirstDate	LastDate	CalfAloneDate
104	C	105	1994	9-Jul-94	9-Jul-94	
107	C	43	1994	9-Jul-94	4-Aug-94	
169	C?	67	1995	19-Jul-95	23-Jul-95	
246	C?		1998	11-Aug-98	17-Aug-98	
307	C	312	1998	28-Jun-98	9-Jul-98	
310	C	321	1998	25-Jun-98	4-Jul-98	6-Jul-98
583	C	581	2001	5-Jun-01	4-Oct-01	
584	C	81	2001	20-Jun-01	18-Jul-01	22-Jul-01
595	C	596	2001	26-Jun-01	29-Jun-01	
611	C	43	2001	18-Jul-01	31-Jul-01	28-Oct-01
620	C	232	2001	5-Jul-01	31-Jul-01	
626	C	291	2001	8-Jun-01	8-Jun-01	15-Jun-01
657	C	281	2002	17-Aug-02	6-Sep-02	
682	C	80	2002	22-May-02	29-Jul-02	18-Aug-02
685	C	684	2002	4-Jul-02	4-Aug-02	
686	C	717	2002	3-Jul-02	3-Jul-02	
687	C	683	2002	25-Jul-02	29-Jul-02	
688	C	91	2002	5-Jul-02	15-Jul-02	6-Sep-02
698	C?	67	2002	7-Aug-02	6-Sep-02	14-Oct-02
714	C	144	2002	5-Jul-02	4-Aug-02	
720	C	143	2002	29-Jul-02	3-Sep-02	30-Sep-02
786	C	232	2003	9-Jun-03	3-Jul-03	15-Jul-03
797	C	81	2003	28-Jul-03	28-Jul-03	30-Jul-03
798	C?	175	2003	12-May-03	12-May-03	16-Jun-03
860	C?	216	2003	26-Jul-03	28-Jul-03	26-Aug-03
811	C	815	2004	19-Jun-04	17-Jul-04	
814	C	372	2004	25-Jun-04	30-Jun-04	
818	C	101	2004	17-Jul-04	17-Jul-04	20-Aug-04
819	C	67	2004	4-Jun-04	27-Aug-04	22-Sep-04
824	C	93	2004	30-Jun-04	11-Jul-04	14-Aug-04
862	C?	801	2005	3-May-05	3-May-05	21-Jul-05
863	C	92	2005	27-Jun-05	24-Jul-05	4-Aug-05
882	C	80	2005	18-Jun-05	19-Jun-05	4-Jul-05
976	C?	973	2007	14-Sep-07	14-Sep-07	
990	C	94	2007	8-Jul-07	5-Aug-07	
994	C	993	2007	5-Aug-07	14-Aug-07	
1066	C	281	2008	19-Apr-08	19-Apr-08	
1173	C	81	2009	16-Jul-09	18-Jul-09	
1212	C	668	2010	9-May-10	9-May-10	
1234	C	566	2010	22-Jun-10	1-Jul-10	
1237	C	312	2010	22-Jun-10	1-Jul-10	6-Aug-10
1254	C	92	2010	5-Jun-10	7-Jul-10	18-Jul-10
1301	C		2011	11-May-11	11-May-11	
1303	C	144	2011	26-May-11	4-Jul-11	28-Jun-11
1305	C	1111	2011	10-Jun-11	10-Jun-11	7-Dec-11
1307	C	1306	2011	10-Jun-11	10-Jun-11	
1316	C		2011	20-May-11	20-May-11	
1317	C		2011	20-May-11	20-May-11	
1322	C	1325	2011	8-May-11	8-May-11	
1350	C	67	2011	23-Jun-11	15-Oct-11	20-Sep-11
1357	C	232	2011	20-May-11	15-Jul-11	22-Jul-11
1359	C		2011	2-May-11	2-May-11	
1374	C		2011	2-May-11	2-May-11	
1330	C?		2011			
1309	C?		2011			
