CalfID	CalfStatus	MomID	Year	FirstDateSeen	LastDateSeen	CalfAloneDate
82	C+	NA	1993	7/14/1993	8/1/1993	NA
104	C+	NA	1994	7/9/1994	7/9/1994	NA
107	C+	NA	1994	7/9/1994	8/4/1994	NA
169	C+	NA	1995	7/19/1995	7/23/1995	NA
242	C+	NA	1998	7/6/1998	11/5/1998	NA
246	C?	NA	1998	7/3/1998	8/17/1998	NA
298	C+	NA	1998	8/17/1998	8/18/1998	NA
307	C+	NA	1998	6/28/1998	7/9/1998	NA
310	C+	NA	1998	6/25/1998	7/4/1998	NA
583	C+	NA	2001	6/5/2001	10/4/2001	NA
584	C+	NA	2001	6/29/2001	7/18/2001	NA
595	C+	NA	2001	6/26/2001	6/29/2001	NA
611	C+	NA	2001	7/18/2001	10/28/2001	NA
620	C+	NA	2001	7/5/2001	7/31/2001	NA
657	C+	NA	2002	8/17/2002	9/6/2002	NA
682	C+	NA	2002	5/22/2002	7/29/2002	NA
685	C+	NA	2002	7/4/2002	8/4/2002	NA
686	C+	NA	2002	7/3/2002	8/15/2002	NA
687	C+	NA	2002	7/25/2002	7/29/2002	NA
688	C+	NA	2002	7/5/2002	7/15/2002	NA
698	C+	NA	2002	8/7/2002	9/6/2002	NA
714	C+	NA	2002	7/15/2002	7/15/2002	NA
720	C+	NA	2002	7/29/2002	7/29/2002	NA
786	C+	NA	2003	6/16/2003	9/15/2003	NA
797	C+	NA	2003	7/28/2003	7/28/2003	NA
798	C+	NA	2003	5/12/2003	5/12/2003	NA
811	C+	NA	2004	7/3/2004	7/17/2004	NA
814	C+	NA	2004	6/25/2004	6/30/2004	NA
818	C+	NA	2004	7/17/2004	7/17/2004	NA
819	C+	NA	2004	6/4/2004	9/23/2004	NA
824	C+	NA	2004	6/16/2004	11/23/2004	NA
860	C+	NA	2003	7/26/2003	7/28/2003	NA
862	C+	NA	2005	5/3/2005	8/12/2005	NA
863	C+	NA	2005	6/27/2005	9/26/2005	NA
882	C+	NA	2005	6/18/2005	9/7/2005	NA
962	C?	NA	2006	7/27/2006	7/27/2006	NA
976	C?	NA	2007	9/14/2007	9/14/2007	NA
990	C+	NA	2007	7/8/2007	8/5/2007	NA
994	C+	NA	2007	8/14/2007	8/14/2007	NA
1036	C+	NA	2008	5/24/2008	5/24/2008	NA
1047	C+	NA	2008	8/2/2008	11/19/2008	NA
1066	C+	NA	2008	7/26/2008	7/26/2008	NA
1169	C+	NA	2009	4/30/2009	4/30/2009	NA
1173	C+	NA	2009	7/16/2009	7/18/2009	NA
1212	C+	NA	2010	5/9/2010	5/9/2010	NA
1234	C+	NA	2010	6/22/2010	7/1/2010	NA
1237	C+	NA	2010	6/22/2010	9/18/2010	NA
1249	C+	NA	2010	5/17/2010	5/17/2010	NA
1252	C+	NA	2010	5/24/2010	5/24/2010	NA
1254	C+	NA	2010	6/5/2010	9/28/2010	NA
1301	C+	NA	2011	5/11/2011	5/11/2011	NA
1303	C+	NA	2011	5/26/2011	7/4/2011	NA
1305	C?	NA	2011	6/10/2011	6/10/2011	NA
1307	C+	NA	2011	6/10/2011	6/10/2011	NA
1309	C?	NA	2011	8/29/2011	10/20/2011	NA
1316	C?	NA	2011	5/20/2011	5/20/2011	NA
1317	C?	NA	2011	5/20/2011	5/20/2011	NA
1322	C+	NA	2011	5/8/2011	5/8/2011	NA
1330	C?	NA	2011	6/15/2011	10/27/2011	NA
1350	C+	NA	2011	6/23/2011	10/17/2011	NA
1357	C+	NA	2011	5/20/2011	7/15/2011	NA
1359	C-	NA	2011	5/2/2011	5/2/2011	NA
1374	C-	NA	2011	5/2/2011	5/2/2011	NA
1416	C+	NA	2012	6/6/2012	6/6/2012	NA
