CalfID	CalfStatus	MomID	Year	FirstDate	LastDateWMom	CalfAloneDate
82	C	81	1993	14-Jul-93	1-Aug-93	NA
104	C	105	1994	9-Jul-94	9-Jul-94	NA
107	C	43	1994	9-Jul-94	4-Aug-94	NA
169	C?	67	1995	19-Jul-95	23-Jul-95	NA
242	C	232	1998	6-Jul-98	7-Aug-98	NA
307	C	312	1998	28-Jun-98	9-Jul-98	NA
310	C	321	1998	25-Jun-98	4-Jul-98	6-Jul-98
583	C	581	2001	5-Jun-01	2-Jul-01	4-Oct-01
584	C	81	2001	20-Jun-01	18-Jul-01	22-Jul-01
595	C	596	2001	26-Jun-01	29-Jun-01	NA
611	C	43	2001	18-Jul-01	31-Jul-01	28-Oct-01
620	C	232	2001	5-Jul-01	31-Jul-01	NA
657	C	281	2002	17-Aug-02	6-Sep-02	NA
682	C	80	2002	22-May-02	29-Jul-02	18-Aug-02
685	C	684	2002	4-Jul-02	4-Aug-02	NA
686	C	717	2002	3-Jul-02	3-Jul-02	NA
687	C	79	2002	25-Jul-02	29-Jul-02	NA
688	C	91	2002	5-Jul-02	15-Jul-02	6-Sep-02
698	C?	67	2002	7-Aug-02	6-Sep-02	14-Oct-02
714	C	144	2002	5-Jul-02	4-Aug-02	NA
720	C	143	2002	29-Jul-02	3-Sep-02	30-Sep-02
786	C	232	2003	9-Jun-03	3-Jul-03	15-Jul-03
797	C	81	2003	28-Jul-03	28-Jul-03	30-Jul-03
798	C?	175	2003	12-May-03	12-May-03	16-Jun-03
860	C?	216	2003	26-Jul-03	28-Jul-03	26-Aug-03
811	C	815	2004	19-Jun-04	17-Jul-04	NA
814	C	372	2004	25-Jun-04	30-Jun-04	NA
818	C	101	2004	17-Jul-04	17-Jul-04	20-Aug-04
819	C	67	2004	4-Jun-04	27-Aug-04	22-Sep-04
824	C	93	2004	30-Jun-04	11-Jul-04	14-Aug-04
862	C?	581	2005	3-May-05	3-May-05	21-Jul-05
863	C	92	2005	27-Jun-05	24-Jul-05	4-Aug-05
882	C	80	2005	18-Jun-05	19-Jun-05	4-Jul-05
976	C?	973	2007	14-Sep-07	14-Sep-07	NA
990	C	94	2007	8-Jul-07	5-Aug-07	NA
994	C	993	2007	5-Aug-07	14-Aug-07	NA
1047	C	691	2008	2-Aug-08	5-Aug-08	10-Oct-08
1066	C	281	2008	19-Apr-08	19-Apr-08	NA
1173	C	81	2009	16-Jul-09	18-Jul-09	NA
1212	C	668	2010	9-May-10	9-May-10	NA
1234	C	566	2010	22-Jun-10	1-Jul-10	NA
1237	C	312	2010	22-Jun-10	1-Jul-10	6-Aug-10
1254	C	92	2010	5-Jun-10	7-Jul-10	18-Jul-10
1303	C	144	2011	26-May-11	4-Jul-11	6-Jul-11
1305	C	1111	2011	10-Jun-11	10-Jun-11	7-Dec-11
1309	C?	NA	2011	NA		29-Aug-11	NA
1330	C?	NA	2011	NA		15-Jun-11	NA
1350	C	67	2011	23-Jun-11	1-Sep-11	20-Sep-11
1357	C	232	2011	20-May-11	15-Jul-11	22-Jul-11
1421	C	893	2012	25-Jun-12	7-Jul-12	NA
1424	C	65	2012	23-Jun-12	8-Jul-12	NA
1425	C	364	2012	6-Jun-12	8-Aug-12	NA
1455	C	126	2012	27-Jun-12	8-Aug-12	NA
1511	C	330	2012	22-Jun-12	3-Jul-12	5-Nov-12
1512	C	196	2012	2-Jun-12	18-Jul-12	31-Jul-12
1517	C	193	2012	28-Jun-12	2-Jul-12	21-Jul-12
1521	C	717	2012	2-Jul-12	25-Jul-12	13-Sep-12
1529	C	324	2012	7-May-12	7-May-12	NA
1545	C	760	2012	7-May-12	7-May-12	12-Jul-12
1559	C	918	2012	28-Jun-12	28-Jun-12	12-Sep-12
1571	C	86	2013	19-Jun-13	19-Jun-13	30-Jul-13
1576	C	1172	2013	22-Jun-13	22-Jun-13	28-Jun-13
1601	C	372	2013	10-Jun-13	11-Jul-13	20-Jul-13
1610	C	92	2013	19-Jun-13	17-Sep-13	15-Oct-13
1622	C	178	2013	19-Jun-13	16-Jul-13	25-Jul-13
1623	C	138	2013	12-Jun-13	16-Aug-13	19-Oct-13
1639	C	234	2013	4-Jul-13	22-Jul-13	28-Jul-13
1645	C	581	2013	9-May-13	9-May-13	13-Jul-13
1647	C	995	2013	10-Jun-13	31-Jul-13	16-Aug-13
1652	C	242	2013	7-Jul-13	5-Sep-13	8-Sep-13
1654	C	101	2013	9-May-13	26-Sep-13	12-Jul-13
1693	C	280	2013	22-Jun-13	24-Jun-13	30-Jul-13
1700	C	974	2013	18-May-13	18-May-13	NA
1736	C	396	2014	3-Jul-14	1-Aug-14	5-Aug-14
1741	C	94	2014	12-Jun-14	31-Jul-14	7-Aug-14
1751	C	668	2014	25-May-14	5-Jul-14	16-Aug-14
1752	C	127	2014	24-Jun-14	28-Jun-14	14-Sep-14
1753	C	204	2014	12-Jun-14	28-Jun-14	13-Dec-14
1763	C	238	2014	17-May-14	29-May-14	NA
1767	C	554	2014	12-Jun-14	12-Jun-14	7-Sep-14
1768	C	893	2014	12-Jun-14	18-Jun-14	NA
1780	C	364	2014	12-Jun-14	29-Jul-14	28-Dec-14
1798	C	143	2014	22-Jun-14	23-Jul-14	NA
1822	C?	815	2014	8-Aug-14	8-Aug-14	NA
1801	C	144	2014	9-Jun-14	7-Aug-14	9-Aug-14
1802	C	192	2014	9-Jun-14	9-Jul-14	17-Jul-14
1806	C	193	2014	17-Jun-14	12-Jul-14	26-Jul-14
1819	C	NA	2014	NA		2-Aug-14	NA
1834	C	860	2014	19-Jun-14	19-Jun-14	21-Jul-14
1838	C	872	2015	6-Aug-15	25-Aug-15	NA
1839	C	827	2015	6-Aug-15	25-Aug-15	NA
1840	C	719	2015	18-May-15	6-Jul-15	20-Jul-15
1853	C	141	2015	2-Jan-15	14-Jul-15	23-Jul-15
1854	C	995	2015	1-Jun-15	22-Jun-15	NA
1856	C	1855	2015	1-Jun-15	1-Jun-15	NA
1859	C	525	2015	1-Jun-15	22-Jun-15	9-Aug-15
1862	C	324	2015	9-Jul-15	27-Jul-15	NA
1864	C	178	2015	4-Jun-15	23-Jul-15	30-Sep-15
1865	C	234	2015	23-Jul-15	23-Jul-15	NA
1866	C	372	2015	5-Jun-15	3-Aug-15	NA
