CalfID	CalfStatus	MomID	Year	FirstDate	LastDateWMom
246	C?	NA	1998	11-Aug-98	17-Aug-98
1036	C	1037	2008	24-May-08	24-May-08
1169	C	1170	2009	30-Apr-09	30-Apr-09
1249	C	1250	2010	NA	NA
1252	C	1253	NA	NA	NA
1301	C	NA	2011	11-May-11	11-May-11
1307	C	1306	2011	10-Jun-11	10-Jun-11
1316	C	NA	2011	20-May-11	20-May-11
1317	C	NA	2011	20-May-11	20-May-11
1322	C	1325	2011	8-May-11	8-May-11
1359	C	NA	2011	2-May-11	2-May-11
1374	C	NA	2011	2-May-11	2-May-11
1416	C	1415	2012	6-Jun-12	6-Jun-12
1418	C	1413	2012	5-Jun-12	6-Jun-12
1427	C	1426	2012	28-Jun-12	7-Jul-12
1491	C	1492	2012	21-Apr-12	21-Apr-12
1494	C	NA	2012	28-Apr-12	28-Apr-12
1495	C	NA	2012	28-Apr-12	28-Apr-12
1496	C	1499	2012	20-May-12	20-May-12
1497	C	1498	2012	20-May-12	20-May-12
1501	C	1502	2012	20-May-12	20-May-12
1537	C	1536	2012	20-Apr-12	20-Apr-12
1550	C	1549	2012	19-May-12	19-May-12
1587	C	1624	2013	27-Apr-13	27-Apr-13
1593	C	1592	2013	27-Apr-13	27-Apr-13
1633	C	1634	2013	17-May-13	17-May-13
1696	C	1695	2013	7-May-13	7-May-13
1697	C	1698	2013	18-May-13	18-May-13
1701	C	1699	2013	18-May-13	18-May-13
1703	C	1704	2013	18-May-13	18-May-13
1725	C	1724	2013	19-May-13	20-May-13
1738	C	1737	2014	11-Jun-14	11-Jun-14
1748	C	1746	2014	3-May-14	3-May-14
1750	C	1749	2014	3-May-14	3-May-14
1775	C	1772	2014	29-May-14	29-May-14
1779	C	1778	2014	12-Jun-14	12-Jun-14
1784	C	1789	2014	8-Aug-14	8-Aug-14
1831	C	1832	2014	12-Jun-14	12-Jun-14
